1901,2103136
1902,2506176
1903,2440224
1904,2619760
1905,2799296
1906,3206000
1907,3451488
1908,3594384
1909,3609040
1910,4198944
1911,4605648
1912,5591264
1913,6034608
1914,4107344.2
1915,3143712
1916,2879904
1917,2498848
1918,2322976
1919,3070432
1920,3645680
1921,2890896
1922,3781248
1923,4616640
1924,5103952
1925,5375088
1926,5477680
1927,6074912
1928,5927995
1929,6345662
1930,5513964
1931,4168949.2
1932,4169037.8
1933,4722005
1934,4622661
1935,5509171
1936,5145960
1937,6087250
1938,6094398
1939,5947511
1940,6485943
1941,6280670
1942,5866699
1943,6474923
1944,5895771
1945,6822912
1946,7460241
1947,8947467
1948,7847465
1949,7366800
1950,19659072
1951,21659348
1952,24934310
1953,25218440
1954,29675626
1955,34023692
1956,36608456
1957,35974080
1958,39053930
1959,39017080
1960,46851820
1961,49136050
1962,53613250
1963,55523040
1964,56626316
1965,56279224
1966,64162424
1967,66032556
1968,77224150
1969,84088420
1970,93488200
1971,102337050
1972,114018824
1973,132060776
1974,143015700
1975,150326580
1976,154606980
1977,162363360
1978,177117180
1979,187787150
1980,186190690
1981,171324430
1982,171499700
1983,165899790
1984,167567460
1985,180110740
1986,197238400
1987,205967680
1988,207695260
1989,212071060
1990,218658000
1991,229394000
1992,233601000
1993,244306000
1994,254002000
1995,268678000
1996,289311000
1997,306949000
1998,317359000
1999,327256000
2000,340183000
2001,346165980
2002,347765020
2003,344645000
2004,361434000
2005,364371000
2006,368871000
2007,390573000
2008,412638000
2009,389775000
2010,440269020
2011,462580000
2012,498309000
2013,532418020
2014,557901000
2015,529353020
2016,492748000
2017,497121380
2018,477998620
2019,473464400
2020,444504320
2021,497206340
2022,483477300
