Year,Methane
1850,14521671
1852,14964982
1853,15187010
1854,15409293
1855,15631717
1856,15852793
1857,16073947
1858,16295297
1859,16516720
1860,16738449
1862,17190286
1863,17416442
1864,17642956
1865,17869714
1866,18096748
1867,18321784
1869,18772428
1870,18998032
1871,19218300
1872,19438974
1873,19660998
1874,19883288
1875,20105838
1876,20328936
1877,20552292
1879,21000118
1880,21224468
1881,21729260
1882,22234416
1883,22740054
1884,23245938
1886,24260476
1887,24768516
1888,25277092
1889,25786082
1890,26295612
1891,26855060
1892,27415244
1893,27976388
1894,28538496
1896,29664554
1897,30228616
1898,30793768
1899,31359896
1900,31924628
1901,32834984
1903,34571920
1904,35444388
1905,36319464
1906,37202356
1907,38084390
1908,38967036
1909,39849520
1910,40747750
1911,42328292
1913,45514776
1914,47054804
1915,48619710
1916,50201876
1917,51786270
1918,53378960
1920,56603564
1921,58466570
1922,60359390
1923,62256230
1924,64152236
1925,66049124
1926,67943976
1927,69852264
1928,71751060
1930,75561210
1931,75863210
1932,76194530
1933,76539600
1934,76878310
1935,77239640
1937,77841100
1938,78147384
1939,78455390
1940,78780850
1941,81081600
1942,83390460
1943,85727496
1944,88051990
1945,90561496
1947,95644280
1948,98179210
1949,100742110
1950,103934670
1951,107412240
1952,111078390
1954,118653690
1955,122638040
1956,126666760
1957,130694860
1958,134980720
1959,139322850
1960,144084930
1961,151435070
1962,156606030
1964,168912030
1965,175345920
1966,179880220
1967,185584050
1968,191532460
1969,197961940
1971,213195540
1972,224882560
1973,230016980
1974,243432160
1975,253538560
1976,272258940
1977,279903070
1978,283559900
1979,293159360
1981,321330100
1982,328263420
1983,331751780
1984,345198820
1985,349984300
1986,361691600
1988,381551800
1989,392951140
1990,391411550
1991,400205200
1992,406998460
1993,410209700
1994,420179970
1995,427178100
1996,417368100
1998,436550140
1999,443678270
2000,451724540
2001,465051700
2002,487410140
2003,510057820
2005,537882750
2006,534707650
2007,533773440
2008,532293300
2009,530754300
2010,553930900
2011,552221100
2012,554981900
2013,555892000
2015,572949000
2016,576798800
2017,576864060
2018,576471800
2019,578147900
2020,585044700
